产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
LODOWN HAT,SP8196013|ARM|S/M,$26.00,$0,ARMY,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit X hat', 'Stretch cotton twill design', 'Logo embroidery at lower right front panel', 'Rear logo embroidery', '98% Cotton, 2% Elastane\n ']","['https://cdn.shopify.com/s/files/1/2034/7683/products/slowdown_SP8196013_arm_f_9e453ad1-c90c-4617-ab2a-d25dba95ed2d.jpg?v=1545168564', 'https://cdn.shopify.com/s/files/1/2034/7683/products/slowdown_SP8196013_arm_b.jpg?v=1545180338']",34,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8196013-arm-lodown-hat
HAWTHORNE HAT,HO8196014|BLK|S/M,$18.99,$28.00,BLACK,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit® X-fit stretch cotton hat', '3d front logo direct embroidery', 'Rear flat direct embroidery', '92% Cotton, 2% Elastane']","['https://cdn.shopify.com/s/files/1/2034/7683/products/hawthorn_HO8196014_blk_f.jpg?v=1537489079', 'https://cdn.shopify.com/s/files/1/2034/7683/products/hawthorn_HO8196014_blk_b.jpg?v=1537815156']",35,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196014-blk-hawthorne
HAWTHORNE HAT,HO8196014|WNE|S/M,$16.99,$28.00,WINE,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit® X-fit stretch cotton hat', '3d front logo direct embroidery', 'Rear flat direct embroidery', '92% Cotton, 2% Elastane']","['https://cdn.shopify.com/s/files/1/2034/7683/products/hawthorn_HO8196014_bur_f.jpg?v=1537552525', 'https://cdn.shopify.com/s/files/1/2034/7683/products/hawthorn_HO8196014_bur_b.jpg?v=1537552525']",36,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196014-wne-hawthorne
CLEAN AND MEAN HAT,FA6196011|BLK|S/M,$26.00,$0,BLACK,"['S/M', 'L/XL']","['O-Neill men-s Flexfit® X fit hat', 'Front panel 3D logo embroidery', 'Rear embroidery', '98% Cotton / 2% Elastane']","['https://cdn.shopify.com/s/files/1/2034/7683/products/cleanandmeanhat_FA6196011_blk_f_bca8517a-c484-4b55-b5a2-d14da7cd0272.jpg?v=1525137558', 'https://cdn.shopify.com/s/files/1/2034/7683/products/cleanandmeanhat_FA6196011_blk_b_c6b1d337-589c-4c57-a131-528a87e61ad5.jpg?v=1525137558']",37,mens,1,https://us.oneill.com/collections/mens-hats/products/fa6196011-blk-clean-and-mean-hat
JAMMIN HAT,SP9196001|BLK|S/M,$28.00,$0,BLACK,"['S/M', 'L/XL']","['O-Neill Men-s New Era stretch fit hat', '3D logo with two tone embroidery', 'Printed patch branding', 'Poly mesh panels', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/jammin_SP9196001_blk_f_1dbf6ab7-35a6-40b5-9efa-a14ddcc3171a.jpg?v=1545169546'],38,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196001-blk-jammin
MOSCOW HAT,SP9196002|BLK|ONE,$28.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Lo-profile, 6 panel design', 'Structured wool feel', 'Woven front label, rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/moscow_SP9196002_blk_f_0fa06549-a6b2-4f91-acff-8fd49d4d0238.jpg?v=1545169547'],39,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196002-blk-moscow
CLEAN & MEAN HAT,SP9196003|DKB|S/M,$26.00,$0,DARK BLUE,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit hat', 'Structured, 6 panel design', '3D front logo embroidery', 'Rear word mark embroidery', '98% Cotton, 2% Elastane\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/clean_mean_SP9196003_dkb_f_5b02d9ee-ddf1-4b41-9eb6-e20c4e8315b6.jpg?v=1545169553'],40,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196003-dkb-clean-mean
HOUSTONS HAT,SP9196006|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Mid-profile, 6 panel design', 'Structured wool design', 'Front 3D logo embroidery', 'Rear flag label', '85% Acrylic, 15% Wool\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/houstons_SP9196006_blk_f_b2030004-f101-4b39-92d1-68bc6d210331.jpg?v=1545169557'],41,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196006-blk-houstons
HOUSTONS HAT,SP9196006|BUR|ONE,$26.00,$0,BURGUNDY,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Mid-profile, 6 panel design', 'Structured wool design', 'Front 3D logo embroidery', 'Rear flag label', '85% Acrylic, 15% Wool\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/houstons_SP9196006_bur_f_4025e911-330c-455f-9859-00e1168cb874.jpg?v=1545169559'],42,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196006-bur-houstons
HOUSTONS HAT,SP9196006|MID|ONE,$26.00,$0,MIDNIGHT,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Mid-profile, 6 panel design', 'Structured wool design', 'Front 3D logo embroidery', 'Rear flag label', '85% Acrylic, 15% Wool\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/houstons_SP9196006_mid_f_164e4687-6534-46ba-94c1-d5277f89a20c.jpg?v=1545262428'],43,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196006-mid-houstons
